entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_points,pnl_dollars,reason,capital,be_moved,ob_formed
2024-03-28 07:00:00,2024-03-28 12:00:00,long,2193.815,2215.1315535714284,2204.5591071428576,2215.1315535714284,0.22,21.316553571428358,468.9641785714239,TP,16257.59363571429,True,2024-03-27 11:00:00
2024-04-16 16:00:00,2024-04-16 18:00:00,long,2386.425,2386.925,2386.925,2409.8558035714295,0.21,0.5,10.5,SL,16268.09363571429,True,2024-04-15 20:00:00
2024-04-17 16:00:00,2024-04-17 18:00:00,short,2377.69,2377.19,2377.19,2361.8772678571436,0.31,0.5,15.5,SL,16283.59363571429,True,2024-04-17 06:00:00
2024-04-19 07:00:00,2024-04-19 11:00:00,long,2385.535,2373.8739285714287,2373.8739285714287,2420.5182142857134,0.14,-11.661071428571177,-163.2549999999965,SL,16120.338635714292,False,2024-04-18 13:00:00
2024-04-24 09:00:00,2024-04-24 12:00:00,short,2318.345,2317.845,2317.845,2304.396660714285,0.35,0.5,17.5,SL,16137.838635714292,True,2024-04-24 02:00:00
2024-04-26 14:00:00,2024-04-26 18:00:00,long,2330.77,2340.925,2311.7840535714286,2387.7278392857143,0.08,10.1550000000002,81.2400000000016,SessionEnd,16219.078635714293,False,2024-04-25 13:00:00
2024-05-01 10:00:00,2024-05-01 13:00:00,short,2293.545,2301.3371428571427,2301.3371428571427,2270.1685714285722,0.21,-7.792142857142608,-163.63499999999476,SL,16055.443635714299,False,2024-04-30 15:00:00
2024-05-02 12:00:00,2024-05-02 18:00:00,short,2299.085,2308.095,2329.303375,2208.4298750000003,0.05,-9.009999999999764,-45.04999999999882,SessionEnd,16010.3936357143,False,2024-05-01 18:00:00
2024-05-08 07:00:00,2024-05-08 10:00:00,short,2312.545,2312.045,2312.045,2295.4970714285723,0.28,0.5,14.000000000000002,SL,16024.3936357143,True,2024-05-07 17:00:00
2024-05-09 13:00:00,2024-05-09 14:00:00,long,2312.78,2329.873946428572,2307.082017857143,2329.873946428572,0.28,17.0939464285716,478.6305000000048,TP,16503.024135714306,False,2024-05-08 19:00:00
2024-05-15 13:00:00,2024-05-15 15:00:00,long,2353.165,2374.027107142858,2361.0262500000003,2374.027107142858,0.24,20.862107142857894,500.69057142858946,TP,17003.714707142895,True,2024-05-14 15:00:00
2024-05-17 13:00:00,2024-05-17 14:00:00,long,2395.075,2413.545571428571,2388.918142857143,2413.545571428571,0.28,18.47057142857102,517.1759999999887,TP,17520.890707142884,False,2024-05-16 01:00:00
2024-05-23 14:00:00,2024-05-23 17:00:00,short,2360.05,2334.017285714286,2355.4048214285713,2334.017285714286,0.2,26.032714285714064,520.6542857142813,TP,18041.544992857165,True,2024-05-23 06:00:00
2024-05-28 15:00:00,2024-05-28 17:00:00,long,2355.135,2355.635,2355.635,2370.8345892857155,0.34,0.5,17.0,SL,18058.544992857165,True,2024-05-27 18:00:00
