entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_points,pnl_dollars,pnl_pct,reason,capital,be_moved,ob_formed,spread_cost,commission
2025-10-06 12:00:00,2025-10-06 13:00:00,long,24984.5,24943.803214285716,24943.803214285716,25106.590357142853,2.03,-42.69678571428449,-93.7794749999975,-0.8514129306578163,SL,10920.790732142836,False,2025-10-03 10:00:00,4.06,7.1049999999999995
2025-10-07 12:00:00,2025-10-07 14:00:00,long,25005.0,25005.5,25005.5,25096.54714285714,2.68,-1.5,-13.400000000000002,-0.12270173770989112,SL,10907.390732142836,True,2025-10-06 16:00:00,5.36,9.38
2025-10-07 15:00:00,2025-10-07 16:00:00,short,24952.4,24885.791428571432,24974.602857142858,24885.791428571432,3.68,64.60857142856912,224.87954285713437,2.0617171272176034,TP,11132.27027499997,False,2025-10-07 08:00:00,7.36,12.88
2025-10-09 14:00:00,2025-10-09 15:00:00,long,25049.8,25004.523214285717,25004.523214285717,25185.630357142847,1.84,-47.276785714282596,-93.42928571427998,-0.8392653376741721,SL,11038.84098928569,False,2025-10-07 13:00:00,3.68,6.44
2025-10-10 13:00:00,2025-10-10 14:00:00,long,25165.7,25142.51857142857,25142.51857142857,25235.244285714296,3.57,-25.181428571431752,-102.39270000001136,-0.9275674873783742,SL,10936.44828928568,False,2025-10-10 02:00:00,7.14,12.495
2025-10-10 14:00:00,2025-10-10 15:00:00,short,25164.2,25051.712857142862,25201.695714285714,25051.712857142862,2.19,110.48714285713868,234.30184285713372,2.1423942824900175,TP,11170.750132142814,False,2025-10-08 23:00:00,4.38,7.665
2025-10-14 15:00:00,2025-10-14 16:00:00,short,24609.7,24735.406785714284,24735.406785714284,24232.579642857152,0.67,-127.70678571428289,-87.90854642856954,-0.7869529386000742,SL,11082.841585714245,False,2025-10-13 13:00:00,1.34,2.345
2025-10-16 15:00:00,2025-10-16 16:00:00,long,24779.5,24660.570357142857,24660.570357142857,25136.28892857143,0.7,-120.92964285714334,-87.10075000000033,-0.7859062978241337,SL,10995.740835714245,False,2025-10-15 19:00:00,1.4,2.4499999999999997
2025-10-22 14:00:00,2025-10-22 15:00:00,short,25061.0,24896.745714285717,25115.751428571428,24896.745714285717,1.51,162.25428571428347,239.71897142856804,2.1801075071718596,TP,11235.459807142814,False,2025-10-22 01:00:00,3.02,5.285
2025-10-23 13:00:00,2025-10-23 16:00:00,long,24952.0,25083.1,24974.746428571427,25095.947499999995,1.76,129.09999999999854,221.05599999999745,1.9674851211649005,SessionEnd,11456.51580714281,True,2025-10-23 07:00:00,3.52,6.16
2025-10-31 13:00:00,2025-10-31 15:00:00,short,26022.8,26022.3,26022.3,25817.47678571428,1.26,-1.5,-6.300000000000001,-0.054990540807111105,SL,11450.215807142811,True,2025-10-31 07:00:00,2.52,4.41
2025-11-03 09:00:00,2025-11-03 14:00:00,long,25984.8,25988.47142857143,25988.47142857143,26102.839285714286,2.18,1.6714285714297148,-3.9862857142832224,-0.03481406622743756,SL,11446.229521428528,True,2025-11-03 01:00:00,4.36,7.630000000000001
2025-11-05 14:00:00,2025-11-05 16:00:00,short,25542.1,25657.567142857144,25657.567142857144,25195.698571428562,0.74,-117.46714285714552,-89.51568571428768,-0.7820539116982151,SL,11356.71383571424,False,2025-11-04 10:00:00,1.48,2.59
2025-11-06 14:00:00,2025-11-06 15:00:00,short,25521.0,25373.50928571428,25570.163571428573,25373.50928571428,1.73,145.49071428571915,245.64393571429412,2.162984286368128,TP,11602.357771428533,False,2025-11-06 08:00:00,3.46,6.055
2025-11-13 13:00:00,2025-11-13 14:00:00,short,25472.2,25211.63392857143,25559.055357142857,25211.63392857143,1.0,258.56607142856956,255.06607142856956,2.198398605296281,TP,11857.423842857102,False,2025-11-12 20:00:00,2.0,3.5
2025-11-18 09:00:00,2025-11-18 16:00:00,short,24663.3,24562.160714285714,24562.160714285714,24194.70535714285,0.57,99.1392857142855,54.51439285714274,0.45974904481450357,SL,11911.938235714246,True,2025-11-17 20:00:00,1.14,1.9949999999999999
2025-11-19 14:00:00,2025-11-19 16:00:00,long,24564.9,24631.7,24565.4,24946.21500000001,0.7,64.79999999999927,42.909999999999485,0.36022685100353513,SessionEnd,11954.848235714246,True,2025-11-19 03:00:00,1.4,2.4499999999999997
2025-11-20 13:00:00,2025-11-20 14:00:00,long,25103.5,25062.035,25062.035,25227.895,2.16,-43.465000000000146,-101.44440000000033,-0.8485628424536793,SL,11853.403835714245,False,2025-11-20 05:00:00,4.32,7.5600000000000005
2025-11-26 15:00:00,2025-11-26 16:00:00,long,25116.1,25206.62821428571,25085.92392857143,25206.62821428571,2.95,88.52821428571042,250.83323214284576,2.116128292086755,TP,12104.237067857091,False,2025-11-26 04:00:00,5.9,10.325000000000001
2025-12-01 14:00:00,2025-12-01 15:00:00,long,25210.6,25341.297142857136,25167.034285714286,25341.297142857136,2.08,128.6971428571378,260.41005714284665,2.151395876361079,TP,12364.647124999938,False,2025-12-01 04:00:00,4.16,7.28
2025-12-04 09:00:00,2025-12-04 11:00:00,long,25624.9,25589.401071428572,25589.401071428572,25731.39678571429,2.61,-37.49892857142913,-107.00720357143004,-0.8654286894696204,SL,12257.639921428508,False,2025-12-03 20:00:00,5.22,9.135
2025-12-04 14:00:00,2025-12-04 15:00:00,short,25592.6,25498.702142857142,25623.899285714284,25498.702142857142,2.94,91.89785714285608,259.8896999999969,2.1202262561626077,TP,12517.529621428504,False,2025-12-04 06:00:00,5.88,10.29
2025-12-05 14:00:00,2025-12-05 15:00:00,long,25683.2,25766.752142857138,25655.34928571429,25766.752142857138,3.37,81.55214285713737,263.0357214285529,2.101338917371263,TP,12780.565342857057,False,2025-12-05 06:00:00,6.74,11.795
2025-12-10 14:00:00,2025-12-10 15:00:00,short,25647.5,25522.81464285714,25689.061785714286,25522.81464285714,2.31,122.68535714285827,275.3181750000026,2.15419402517961,TP,13055.883517857059,False,2025-12-09 16:00:00,4.62,8.085
2025-12-11 09:00:00,2025-12-11 12:00:00,short,25535.3,25640.493214285714,25640.493214285714,25219.720357142854,0.93,-107.19321428571493,-102.94468928571489,-0.7884927063336103,SL,12952.938828571345,False,2025-12-10 16:00:00,1.86,3.2550000000000003
2025-12-12 15:00:00,2025-12-12 16:00:00,short,25382.1,25158.2,25280.385714285716,24692.9325,0.42,221.89999999999782,91.72799999999908,0.7081636161028354,SessionEnd,13044.666828571344,True,2025-12-11 15:00:00,0.84,1.47
2025-12-15 14:00:00,2025-12-15 15:00:00,short,25235.6,25089.112142857135,25284.429285714286,25089.112142857135,2.0,144.4878571428635,281.975714285727,2.161616835380755,TP,13326.642542857071,False,2025-12-15 08:00:00,4.0,7.0
2025-12-17 15:00:00,2025-12-17 16:00:00,short,24935.5,24789.9,24925.178571428572,24463.01285714285,0.63,143.59999999999854,88.26299999999908,0.6623048507240636,SessionEnd,13414.90554285707,True,2025-12-16 18:00:00,1.26,2.205
2025-12-30 14:00:00,2025-12-30 15:00:00,long,25513.5,25482.86928571429,25482.86928571429,25605.392142857134,3.28,-32.63071428571129,-118.50874285713303,-0.8834109377701467,SL,13296.396799999937,False,2025-12-30 02:00:00,6.56,11.479999999999999
2025-12-31 14:00:00,2025-12-31 16:00:00,short,25499.2,25394.9,25412.52857142857,25292.19785714286,1.45,102.29999999999927,143.25999999999894,1.0774347528497314,SessionEnd,13439.656799999935,True,2025-12-30 14:00:00,2.9,5.075
2026-01-02 12:00:00,2026-01-02 15:00:00,long,25494.4,25366.143571428573,25366.143571428573,25879.169285714288,0.79,-130.25642857142884,-105.66757857142879,-0.7862371795939708,SL,13333.989221428506,False,2025-12-31 14:00:00,1.58,2.765
2026-01-02 15:00:00,2026-01-02 16:00:00,short,25499.2,25279.40178571429,25572.46607142857,25279.40178571429,1.36,217.79821428571086,291.4455714285668,2.185734265932933,TP,13625.434792857073,False,2025-12-30 14:00:00,2.72,4.760000000000001
2026-01-08 10:00:00,2026-01-08 14:00:00,long,25574.5,25484.345714285715,25484.345714285715,25844.962857142855,1.13,-92.15428571428492,-108.08934285714196,-0.7932909628234848,SL,13517.345449999932,False,2026-01-06 15:00:00,2.26,3.9549999999999996
2026-01-08 14:00:00,2026-01-08 15:00:00,short,25623.1,25526.098214285714,25655.433928571427,25526.098214285714,3.14,95.00178571428478,287.3156071428542,2.1255327697706776,TP,13804.661057142786,False,2026-01-06 21:00:00,6.28,10.99
2026-01-09 14:00:00,2026-01-09 16:00:00,long,25507.6,25718.055357142846,25539.017857142855,25718.055357142846,1.48,208.4553571428478,303.33392857141473,2.197329780976145,TP,14107.994985714202,True,2026-01-08 18:00:00,2.96,5.18
2026-01-21 14:00:00,2026-01-21 15:00:00,long,25075.9,25195.41785714286,25036.060714285715,25195.41785714286,2.66,117.5178571428587,303.2875000000042,2.1497562219657294,TP,14411.282485714206,False,2026-01-21 06:00:00,5.32,9.31
2026-01-22 14:00:00,2026-01-22 16:00:00,long,25498.9,25527.8,25293.246428571427,26115.860714285725,0.53,26.899999999997817,12.401999999998843,0.08605757337900254,SessionEnd,14423.684485714204,False,2026-01-21 20:00:00,1.06,1.855
2026-01-23 15:00:00,2026-01-23 16:00:00,long,25549.0,25638.605714285713,25519.13142857143,25638.605714285713,3.62,87.60571428571347,304.46268571428277,2.110852369350112,TP,14728.147171428487,False,2026-01-23 02:00:00,7.24,12.67
2026-01-29 14:00:00,2026-01-29 15:00:00,short,26024.4,25589.25857142857,26169.447142857145,25589.25857142857,0.76,433.1414285714309,326.5274857142874,2.2170303020038156,TP,15054.674657142774,False,2026-01-28 21:00:00,1.52,2.66
2026-02-04 14:00:00,2026-02-04 16:00:00,short,25134.0,24930.1,25072.835714285713,24750.459642857142,0.88,201.90000000000146,174.59200000000126,1.1597195155404114,SessionEnd,15229.266657142774,True,2026-02-03 19:00:00,1.76,3.08
2026-02-05 12:00:00,2026-02-05 14:00:00,short,24847.6,24840.760714285712,24840.760714285712,24559.951428571418,1.19,4.839285714286234,1.5937500000006182,0.010465047568479756,SL,15230.860407142774,True,2026-02-05 04:00:00,2.38,4.165
2026-02-09 10:00:00,2026-02-09 14:00:00,long,24946.2,24946.7,24946.7,25128.833571428568,1.88,-1.5,-9.4,-0.061716802260177686,SL,15221.460407142775,True,2026-02-05 08:00:00,3.76,6.58
2026-02-11 13:00:00,2026-02-11 15:00:00,long,25208.0,25208.5,25208.5,25523.93642857143,1.08,-1.5,-5.4,-0.03547622800678188,SL,15216.060407142775,True,2026-02-10 20:00:00,2.16,3.7800000000000002
2026-02-12 15:00:00,2026-02-12 16:00:00,short,25160.3,24797.6,24922.30357142857,24509.877500000002,0.53,360.7000000000007,189.3160000000004,1.2441853865875232,SessionEnd,15405.376407142776,True,2026-02-11 13:00:00,1.06,1.855
2026-02-16 14:00:00,2026-02-16 15:00:00,short,24740.9,24667.02285714287,24765.52571428571,24667.02285714287,4.69,71.87714285713082,320.68879999994357,2.0816680587645666,TP,15726.06520714272,False,2026-02-16 06:00:00,9.38,16.415000000000003
2026-02-17 14:00:00,2026-02-17 15:00:00,short,24689.2,24389.261071428573,24789.179642857143,24389.261071428573,1.18,297.9389285714278,347.43793571428483,2.2093125720760707,TP,16073.503142857004,False,2026-02-16 23:00:00,2.36,4.13
2026-02-18 13:00:00,2026-02-18 14:00:00,long,24777.3,24731.781428571427,24731.781428571427,24913.855714285717,2.65,-47.51857142857261,-135.19921428571743,-0.8411309786305009,SL,15938.303928571286,False,2026-02-17 19:00:00,5.3,9.275
2026-02-19 10:00:00,2026-02-19 16:00:00,short,24816.1,24776.4,24940.721428571425,24442.235714285718,0.96,37.69999999999709,32.83199999999721,0.20599431499823506,SessionEnd,15971.135928571282,False,2026-02-18 20:00:00,1.92,3.36
2026-02-20 15:00:00,2026-02-20 16:00:00,long,24884.4,25033.90714285714,24834.56428571429,25033.90714285714,2.4,147.50714285713912,345.6171428571339,2.1640110284131273,TP,16316.753071428417,False,2026-02-20 07:00:00,4.8,8.4
2026-02-24 15:00:00,2026-02-24 16:00:00,long,24825.0,24973.2,24853.95,25015.07678571428,1.93,146.20000000000073,275.4110000000014,1.6879032169841566,SessionEnd,16592.16407142842,True,2026-02-24 05:00:00,3.86,6.755
2026-02-26 14:00:00,2026-02-26 15:00:00,short,25330.7,24971.39,25450.47,24971.39,1.04,357.3100000000013,367.96240000000137,2.217687809835667,TP,16960.12647142842,False,2026-02-25 21:00:00,2.08,3.64
2026-03-02 11:00:00,2026-03-02 14:00:00,short,24673.1,24794.50214285714,24794.50214285714,24308.89357142857,1.05,-123.40214285714319,-133.24725000000038,-0.7856500965630947,SL,16826.87922142842,False,2026-03-01 23:00:00,2.1,3.6750000000000003
2026-03-03 09:00:00,2026-03-03 12:00:00,short,24499.5,24499.0,24499.0,24300.71571428571,1.9,-1.5,-9.5,-0.056457290000050016,SL,16817.37922142842,True,2026-03-02 08:00:00,3.8,6.6499999999999995
2026-03-10 14:00:00,2026-03-10 16:00:00,long,24905.0,25129.6,24978.20714285714,25182.120714285717,1.37,222.59999999999854,300.16699999999804,1.7848619338828393,SessionEnd,17117.546221428416,True,2026-03-10 03:00:00,2.74,4.795
2026-03-11 15:00:00,2026-03-11 16:00:00,short,24957.0,24982.3,25167.63,24325.109999999997,0.61,-27.299999999999272,-18.787999999999556,-0.10975872217292454,SessionEnd,17098.758221428416,False,2026-03-05 14:00:00,1.22,2.135
2026-03-13 09:00:00,2026-03-13 11:00:00,short,24508.2,24635.405714285713,24635.405714285713,24126.582857142865,1.01,-129.20571428571202,-134.03277142856913,-0.7838743006529989,SL,16964.725449999845,False,2026-03-13 00:00:00,2.02,3.535
2026-03-20 13:00:00,2026-03-20 16:00:00,short,24222.2,24054.9,24188.164285714287,23960.14464285714,1.46,165.29999999999927,236.22799999999893,1.3924658002644015,SessionEnd,17200.953449999844,True,2026-03-19 13:00:00,2.92,5.109999999999999
