entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_points,pnl_dollars,reason,capital,be_moved
2024-11-12 15:00:00,2024-11-12 16:00:00,short,2598.535,2600.805,2609.182,2571.9174999999996,0.1,-2.269999999999982,-22.699999999999818,SessionEnd,11006.016214285704,False
2024-11-13 14:00:00,2024-11-13 16:00:00,short,2602.085,2601.585,2601.585,2581.3421428571432,0.13,0.5,6.5,SL,11012.516214285704,True
2024-11-15 13:00:00,2024-11-15 14:00:00,short,2565.41,2573.312,2573.312,2545.6549999999997,0.14,-7.902000000000044,-110.62800000000063,SL,10901.888214285704,False
2024-11-22 15:00:00,2024-11-22 16:00:00,long,2703.725,2705.215,2692.284714285714,2732.325714285714,0.1,1.4900000000002365,14.900000000002365,SessionEnd,10916.788214285705,False
2024-11-26 14:00:00,2024-11-26 16:00:00,short,2622.84,2628.7,2634.328285714286,2594.119285714286,0.1,-5.859999999999673,-58.599999999996726,SessionEnd,10858.188214285708,False
2024-11-29 15:00:00,2024-11-29 16:00:00,long,2658.985,2662.25,2650.068142857143,2681.2771428571427,0.12,3.2649999999998727,39.17999999999847,SessionEnd,10897.368214285707,False
2024-12-06 10:00:00,2024-12-06 13:00:00,short,2634.2,2642.7362857142857,2642.7362857142857,2612.8592857142853,0.13,-8.536285714285896,-110.97171428571664,SL,10786.39649999999,False
2024-12-11 09:00:00,2024-12-11 16:00:00,long,2695.845,2715.355,2703.5015714285714,2720.8864285714285,0.11,19.51000000000022,214.6100000000024,SessionEnd,11001.006499999992,True
2024-12-13 08:00:00,2024-12-13 12:00:00,short,2675.095,2672.302857142857,2672.302857142857,2658.313214285714,0.16,2.7921428571426077,44.67428571428172,SL,11045.680785714274,True
2024-12-13 13:00:00,2024-12-13 16:00:00,short,2662.27,2662.28,2671.142714285714,2640.088214285714,0.12,-0.010000000000218279,-0.12000000000261934,SessionEnd,11045.560785714271,False
2024-12-17 13:00:00,2024-12-17 16:00:00,short,2637.12,2638.975,2645.1394285714287,2617.0714285714284,0.14,-1.8550000000000182,-25.970000000000258,SessionEnd,11019.59078571427,False
2024-12-26 14:00:00,2024-12-26 16:00:00,long,2630.085,2632.185,2631.280714285714,2642.5617857142856,0.22,2.099999999999909,46.199999999998,SessionEnd,11065.790785714267,True
2024-12-30 15:00:00,2024-12-30 16:00:00,short,2601.605,2599.915,2610.116,2580.3275000000003,0.13,1.6900000000000546,21.97000000000071,SessionEnd,11087.760785714268,False
2025-01-03 10:00:00,2025-01-03 13:00:00,long,2657.78,2651.996,2651.996,2672.2400000000002,0.19,-5.7840000000001055,-109.896000000002,SL,10977.864785714266,False
2025-01-17 14:00:00,2025-01-17 16:00:00,long,2711.75,2716.08,2705.930857142857,2726.2978571428575,0.19,4.329999999999927,82.26999999999862,SessionEnd,11060.134785714265,False
