time,open,high,low,close
2024-04-18T22:00:00-04:00,17121.77,17132.77,17028.27,17128.02
2024-04-18T23:00:00-04:00,17127.52,17199.02,17103.9,17184.27
2024-04-19T00:00:00-04:00,17184.4,17237.9,17183.02,17215.52
2024-04-19T01:00:00-04:00,17214.65,17232.9,17195.27,17218.27
2024-04-19T02:00:00-04:00,17218.15,17282.12,17198.02,17272.75
2024-04-19T03:00:00-04:00,17274.12,17305.75,17260.12,17279.37
2024-04-19T04:00:00-04:00,17278.5,17293.87,17235.87,17258.62
2024-04-19T05:00:00-04:00,17258.75,17309.75,17256.62,17281.37
2024-04-19T06:00:00-04:00,17280.62,17311.37,17255.25,17291.5
2024-04-19T07:00:00-04:00,17291,17353.12,17277.87,17350.12
2024-04-19T08:00:00-04:00,17350,17398.12,17327.87,17364
2024-04-19T09:00:00-04:00,17362,17369,17275.97,17300.97
2024-04-19T10:00:00-04:00,17301.22,17318.85,17188.22,17235.97
2024-04-19T11:00:00-04:00,17234.72,17235.22,17135.35,17137.1
2024-04-19T12:00:00-04:00,17135.72,17164.72,17050.6,17130.47
2024-04-19T13:00:00-04:00,17129.35,17186.97,17103.47,17136.85
2024-04-19T14:00:00-04:00,17134.47,17137.97,16979.22,17006.47
2024-04-19T15:00:00-04:00,17003.97,17052.47,16960.97,17028.77
2024-04-19T16:00:00-04:00,17031.77,17033.65,17004.77,17022.77
2024-04-21T18:00:00-04:00,17094.03,17117.65,17052.03,17112.28
2024-04-21T19:00:00-04:00,17112.78,17127.15,17099.4,17125.53
2024-04-21T20:00:00-04:00,17125.28,17125.53,17056.53,17073.78
2024-04-21T21:00:00-04:00,17073.4,17109.4,17068.9,17102.65
2024-04-21T22:00:00-04:00,17103.28,17112.78,17090.9,17096.15
2024-04-21T23:00:00-04:00,17096.03,17107.28,17090.65,17094.65
2024-04-22T00:00:00-04:00,17094.53,17123.28,17091.78,17120.4
2024-04-22T01:00:00-04:00,17120.28,17137.4,17109.28,17137.28
2024-04-22T02:00:00-04:00,17137.4,17160.63,17131.03,17155.63
2024-04-22T03:00:00-04:00,17154.88,17156.38,17104.13,17113.63
2024-04-22T04:00:00-04:00,17111.13,17129.13,17089.38,17117.5
2024-04-22T05:00:00-04:00,17117,17154.5,17114,17148
2024-04-22T06:00:00-04:00,17148.13,17169.25,17127.75,17134.75
2024-04-22T07:00:00-04:00,17133.38,17154.38,17112.75,17133.88
2024-04-22T08:00:00-04:00,17133.63,17158.63,17104,17151.13
2024-04-22T09:00:00-04:00,17151.25,17185.35,17120.1,17138.1
2024-04-22T10:00:00-04:00,17138.35,17169.1,17021.1,17041.35
2024-04-22T11:00:00-04:00,17041.1,17109.23,17004.35,17106.6
2024-04-22T12:00:00-04:00,17107.85,17150.85,17090.35,17129.85
2024-04-22T13:00:00-04:00,17131.1,17269.35,17123.1,17252.35
2024-04-22T14:00:00-04:00,17252.1,17303.1,17236.6,17266.1
2024-04-22T15:00:00-04:00,17265.1,17273.35,17180.35,17206.15
2024-04-22T16:00:00-04:00,17206.28,17210.53,17178.78,17198.4
2024-04-22T18:00:00-04:00,17223.71,17229.21,17188.08,17196.33
2024-04-22T19:00:00-04:00,17195.83,17199.96,17145.08,17180.46
2024-04-22T20:00:00-04:00,17181.46,17195.83,17174.08,17189.83
2024-04-22T21:00:00-04:00,17189.21,17191.21,17149.96,17163.71
2024-04-22T22:00:00-04:00,17163.21,17187.71,17159.83,17182.21
2024-04-22T23:00:00-04:00,17182.71,17194.21,17172.96,17189.71
2024-04-23T00:00:00-04:00,17189.83,17200.08,17182.83,17188.96
2024-04-23T01:00:00-04:00,17188.83,17200.08,17175.71,17194.71
2024-04-23T02:00:00-04:00,17194.58,17212.06,17178.43,17209.68
2024-04-23T03:00:00-04:00,17209.06,17227.81,17201.56,17222.18
2024-04-23T04:00:00-04:00,17224.93,17259.18,17223.18,17241.31
2024-04-23T05:00:00-04:00,17241.06,17262.06,17225.18,17233.43
2024-04-23T06:00:00-04:00,17233.31,17274.68,17229.56,17268.93
2024-04-23T07:00:00-04:00,17267.31,17287.43,17243.43,17249.18
2024-04-23T08:00:00-04:00,17250.56,17284.56,17218.68,17279.93
2024-04-23T09:00:00-04:00,17279.81,17385.66,17270.43,17360.78
2024-04-23T10:00:00-04:00,17358.53,17456.91,17334.53,17450.66
2024-04-23T11:00:00-04:00,17450.78,17465.03,17400.03,17421.78
2024-04-23T12:00:00-04:00,17422.78,17472.66,17422.66,17452.53
2024-04-23T13:00:00-04:00,17451.91,17498.03,17430.03,17495.03
2024-04-23T14:00:00-04:00,17493.91,17513.78,17479.03,17504.03
2024-04-23T15:00:00-04:00,17504.28,17506.78,17450.78,17463.71
2024-04-23T16:00:00-04:00,17464.96,17523.46,17450.96,17518.58
2024-04-23T18:00:00-04:00,17556.6,17557.72,17524.97,17539.6
2024-04-23T19:00:00-04:00,17539.72,17577.35,17532.85,17560.72
2024-04-23T20:00:00-04:00,17560.47,17579.97,17547.85,17575.35
2024-04-23T21:00:00-04:00,17575.47,17591.47,17569.22,17587.35
2024-04-23T22:00:00-04:00,17587.47,17598.1,17582.72,17588.97
2024-04-23T23:00:00-04:00,17589.1,17605.97,17588.1,17593.72
2024-04-24T00:00:00-04:00,17593.47,17594.35,17585.97,17588.72
2024-04-24T01:00:00-04:00,17589.1,17607.85,17586.97,17601.6
2024-04-24T02:00:00-04:00,17601.85,17604.95,17580.45,17591.7
2024-04-24T03:00:00-04:00,17591.57,17600.07,17571.2,17588.2
2024-04-24T04:00:00-04:00,17588.32,17588.57,17551.7,17556.95
2024-04-24T05:00:00-04:00,17557.45,17569.7,17528.07,17541.95
2024-04-24T06:00:00-04:00,17541.45,17572.07,17536.57,17555.95
2024-04-24T07:00:00-04:00,17557.2,17591.2,17553.07,17585.07
2024-04-24T08:00:00-04:00,17585.45,17614.82,17557.82,17566.2
2024-04-24T09:00:00-04:00,17564.32,17656.17,17549.32,17596.42
2024-04-24T10:00:00-04:00,17596.92,17636.92,17539.42,17554.67
2024-04-24T11:00:00-04:00,17553.92,17561.17,17464.42,17468.92
2024-04-24T12:00:00-04:00,17468.8,17491.67,17428.42,17483.3
2024-04-24T13:00:00-04:00,17483.42,17565.67,17469.3,17559.17
2024-04-24T14:00:00-04:00,17559.92,17563.42,17472.17,17474.67
2024-04-24T15:00:00-04:00,17472.42,17547.55,17467.67,17520.1
2024-04-24T16:00:00-04:00,17521.22,17535.6,17342.6,17364.35
2024-04-24T18:00:00-04:00,17312.11,17349.98,17307.86,17330.23
2024-04-24T19:00:00-04:00,17330.11,17345.73,17310.23,17326.48
2024-04-24T20:00:00-04:00,17327.23,17357.36,17321.36,17351.61
2024-04-24T21:00:00-04:00,17351.73,17354.61,17323.23,17324.61
2024-04-24T22:00:00-04:00,17324.73,17336.61,17319.48,17327.98
2024-04-24T23:00:00-04:00,17327.86,17329.23,17319.98,17323.23
2024-04-25T00:00:00-04:00,17322.61,17324.73,17311.36,17316.73
2024-04-25T01:00:00-04:00,17316.61,17318.11,17277.98,17285.36
2024-04-25T02:00:00-04:00,17284.86,17322.46,17271.33,17317.33
2024-04-25T03:00:00-04:00,17317.58,17327.21,17296.71,17315.83
2024-04-25T04:00:00-04:00,17315.08,17372.08,17314.83,17359.33
2024-04-25T05:00:00-04:00,17358.46,17387.83,17354.58,17379.46
2024-04-25T06:00:00-04:00,17379.21,17384.33,17337.83,17346.58
2024-04-25T07:00:00-04:00,17346.71,17365.83,17324.71,17365.21
2024-04-25T08:00:00-04:00,17364.21,17376.96,17231.58,17242.83
2024-04-25T09:00:00-04:00,17247.33,17254.83,17171.33,17217.81
2024-04-25T10:00:00-04:00,17218.06,17309.68,17193.43,17215.93
2024-04-25T11:00:00-04:00,17215.81,17282.06,17213.18,17277.18
2024-04-25T12:00:00-04:00,17275.43,17369.43,17260.31,17357.43
2024-04-25T13:00:00-04:00,17358.18,17442.93,17327.18,17430.81
2024-04-25T14:00:00-04:00,17431.18,17446.68,17355.93,17389.43
2024-04-25T15:00:00-04:00,17390.06,17468.06,17387.56,17432.61
2024-04-25T16:00:00-04:00,17432.86,17690.23,17411.73,17673.73
2024-04-25T18:00:00-04:00,17677.5,17677.5,17621.38,17642.25
2024-04-25T19:00:00-04:00,17641.63,17642.25,17612.75,17624.63
2024-04-25T20:00:00-04:00,17623.13,17626.88,17608.38,17620.5
2024-04-25T21:00:00-04:00,17621.13,17647.13,17614,17638
2024-04-25T22:00:00-04:00,17637.88,17641.13,17617.25,17628.63
2024-04-25T23:00:00-04:00,17628.75,17652.13,17627.13,17635.5
2024-04-26T00:00:00-04:00,17635.63,17640.63,17625.38,17631.38
2024-04-26T01:00:00-04:00,17631.25,17640.5,17621.38,17636.63
2024-04-26T02:00:00-04:00,17637.88,17659.1,17627.23,17638.6
2024-04-26T03:00:00-04:00,17638.48,17638.98,17601.23,17624.35
2024-04-26T04:00:00-04:00,17624.6,17630.85,17593.48,17600.73
2024-04-26T05:00:00-04:00,17600.98,17603.73,17578.35,17594.85
2024-04-26T06:00:00-04:00,17595.23,17613.6,17582.35,17593.48
2024-04-26T07:00:00-04:00,17596.73,17629.73,17596.23,17609.48
2024-04-26T08:00:00-04:00,17607.23,17683.23,17560.23,17593.48
2024-04-26T09:00:00-04:00,17594.85,17668.08,17535.95,17651.08
2024-04-26T10:00:00-04:00,17651.83,17725.83,17634.95,17719.45
2024-04-26T11:00:00-04:00,17719.58,17751.95,17680.95,17714.2
2024-04-26T12:00:00-04:00,17714.45,17748.08,17692.95,17748.08
2024-04-26T13:00:00-04:00,17748.45,17767.08,17728.2,17743.33
2024-04-26T14:00:00-04:00,17743.7,17746.45,17702.95,17733.58
2024-04-26T15:00:00-04:00,17733.45,17755.33,17702,17705.5
2024-04-26T16:00:00-04:00,17705.13,17713.5,17696.25,17705.5
2024-04-28T18:00:00-04:00,17746.87,17748.74,17728.24,17734.12
2024-04-28T19:00:00-04:00,17733.99,17764.49,17728.74,17761.62
2024-04-28T20:00:00-04:00,17761.74,17769.37,17749.62,17759.24
2024-04-28T21:00:00-04:00,17759.37,17787.49,17753.24,17781.62
